Medical School,count,Matriculants,Affiliated Program,State,Percent of Class
Utah,7,125,University of Utah Health Program,UT,1.12
A&M,11,199,,TX,1.105527638190955
ND,4,74,,ND,1.0810810810810811
Geisinger,6,115,Geisinger Health System Program,PA,1.0434782608695652
Caribe,4,77,,PR,1.0389610389610389
SUNY Up,9,175,,NY,1.0285714285714285
US,9,176,,MD,1.022727272727273
GW,9,179,George Washington University School of Medicine Program,DC,1.005586592178771
WSU,4,80,,WA,1
MN,12,241,University of Minnesota Program,MN,0.995850622
UCSD,7,141,University of California (San Diego) Medical Center Program,CA,0.9929078014184398
MCW,13,264,Medical College of Wisconsin Affiliated Hospitals Program,WI,0.9848484848484848
AL,9,186,University of Alabama Medical Center Program,AL,0.967741935
Tulane,9,190,Tulane University Program,LA,0.9473684210526316
Howard,6,127,Howard University Program,DC,0.9448818897637794
Carle,3,64,,IL,0.9375
Loma Linda,8,176,Loma Linda University Health Education Consortium Program,CA,0.9090909090909092
UMass,9,200,UMass Chan Medical School Program,MA,0.9
UCI,5,114,University of California (Irvine) Program,CA,0.8771929824561402
UTMB,10,230,University of Texas Medical Branch Hospitals Program,TX,0.8695652173913043
SD,3,71,,SD,0.8450704225352113
NYU LI,1,24,,NY,0.8333333333333333
WashU,5,124,Washington University/B-JH/SLCH Consortium Program,MO,0.8064516129032258
VT,2,50,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,VA,0.8
Kaiser,2,50,Kaiser Permanente Southern California (Los Angeles) Program,CA,0.8
Oregon,6,150,Oregon Health and Science University (OHSU Health) Program,OR,0.8
FAU,3,76,,FL,0.7894736842105263
Morehouse,4,110,,GA,0.7272727272727273
Drexel,11,304,,PA,0.7236842105263158
Temple,8,222,Temple University Hospital Program,PA,0.7207207207207207
W Michigan,3,84,,MI,0.7142857142857142
Creighton,9,253,,NE,0.7114624505928855
Chicago,7,201,,IL,0.6965174129353234
Brown,5,144,Brown University Program,RI,0.6944444444444444
Vermont,4,122,University of Vermont Medical Center Program,VT,0.6557377049180328
SC Columbia,3,100,,SC,0.6
UCD,4,137,University of California Davis Health Program,CA,0.583941606
Nevada,2,70,,NV,0.5714285714285714
Toledo,5,175,,OH,0.5714285714285714
Rowan,3,112,Cooper Medical School of Rowan University/Cooper University Hospital Program,NJ,0.5357142857142857
Michigan State,5,189,,MI,0.5291005291005291
AZ Phoenix,3,120,,AZ,0.5
KY,5,201,,KY,0.49751243781094534
Hackensack,4,162,Hackensack University Medical Center (Palisades) Program,NJ,0.49382716049382713
Mercer,4,170,,GA,0.47058823529411764
Nova Southeastern,1,53,,FL,0.37735849056603776
AZ,2,118,University of Arizona College of Medicine-Tucson Program,AZ,0.3389830508474576
Cal Northstate,2,119,,CA,0.33613445378151263
TCU,1,60,,TX,0.33333333333333337
Drew,1,61,,CA,0.3278688524590164
San Juan,1,64,,PR,0.3125
MO Kansas City,2,136,,MO,0.2941176470588235
Marshall,1,72,,WV,0.2777777777777778
Wake,2,145,Wake Forest University School of Medicine Program,NC,0.27586206896551724
CUNY,1,75,,NY,0.2666666666666667
East TN,1,77,,TN,0.2597402597402597
Ponce,2,180,,PR,0.22222222222222224
Cal,1,129,,CA,0.15503875968992248
